;Title;Tags;Author;Text;Date
1621;Dreaming of Suitcases in Space;['WORLD'];Sunday Spotlight;» The mission to turn space into the next frontier for express deliveries took off from a modest propeller plane above a remote airstrip in the shadow of the Santa Ana mountains.;2022-03-20
1622;South Korean An stuns Tai to reach All England final;['SPORTS'];Sports;» An Se-Young booked her place in the women's singles final of the US$1 million All England Open Badminton Championships in Birmingham yesterday.;2022-03-20
1623;Time to reform parole system;['OPINION'];Oped;» The Ministry of Justice should have been praised for its policy for pardoning prisoners. Yet the way it has managed the pardon system only invites more questions which have backfired on the noble policy.;2022-03-20
1624;Thai marksmen finish ninth in Emirates' 'Swat Challenge';['THAILAND'];News;» The Royal Thai Police Swat Team finished ninth in the United Arab Emirates' Swat Challenge with an overall score of 94 points last week.;2022-03-20
1625;Thailand ranks 61 in annual happiness index;['LIFE'];News;» Thailand ranked 61st in the annual World Happiness Index but is the third happiest country in Southeast Asia, according to the World Happiness Report 2022.;2022-03-20
1626;Need an  engraved  tombstone?  Pull up a slab;['WORLD'];Sunday Spotlight;» One morning in December, a crew of men unloaded 3,810 kilogrammes of granite from Rock of Ages, a quarry in Vermont, from a flatbed truck in the Bronx.;2022-03-20
1627;Uni programme to boost AI literacy;['THAILAND'];News;» Six universities are planning to run a pilot study programme on artificial intelligence (AI) and computer engineering in the coming term, with the goal of producing about 200 graduates per year, says the Ministry of Higher Education Science Research and Innovation.;2022-03-20
1628;In defence of the Yank chimney-sweep;['OPINION'];Oped;» A Londoner who lives in Bangkok has made a spirited defence of Dick Van Dyke's much-maligned cockney accent as a chimney-sweep in Mary Poppins, which was mentioned in last week's column.;2022-03-20
1629;Inspired Thai diplomacy?;['OPINION'];Oped;"» Re: ""Thailand must take stand on Ukraine"", (Opinion, March 11).";2022-03-20
1630;Celtic wisdom can help save trees, too;['WORLD'];Sunday Spotlight;» There aren't many scientists raised in the ways of Druids by Celtic medicine women, but there is at least one. She lives in the woods of Canada, in a forest she helped grow. From there, wielding just a pencil, she has been working to save some of the oldest life-forms on Earth by bewitching its humans.;2022-03-20
1631;Ferrari's Leclerc on pole for season-opening Bahrain Grand Prix;['SPORTS'];AFP;» SAKHIR (BAHRAIN) - Charles Leclerc of Ferrari secured pole position for Sunday's season-opening Grand Prix in Bahrain as world champion Max Verstappen had to settle for second place in qualifying.;2022-03-20
1632;Calmly dispatched, shooter's lament, thief repents;['LIFE'];News;» The Buri Ram ranger who shot his ex-wife's son dead before fleeing into a forest sanctuary last week had threatened to slay the entire family, his former wife says.;2022-03-20
1633;British royals begin challenging Caribbean tour;['WORLD'];;» BELIZE CITY: Britain’s Prince William and his wife Kate arrive in Belize on Saturday for a week-long Caribbean tour that sparked controversy before it even began amid growing scrutiny of the British Empire’s colonial ties to the region.;2022-03-19
1634;Malaysian PM leans toward early vote;['WORLD'];;» KUALA LUMPUR: Malaysian Prime Minister Ismail Sabri Yaakob says he will dissolve parliament once he is confident of his party’s victory in the next general election.;2022-03-19
1635;Russia fires hypersonic missiles as Ukraine presses for peace deal;['WORLD'];AFP;» KYIV - Russia on Saturday admitted using advanced hypersonic missiles for the first time in the Ukraine conflict as Kyiv's embattled leader  Volodymyr Zelensky called for urgent peace talks.;2022-03-19
1636;B20m drug stash abandoned beside Mekong;['THAILAND'];;» NAKHON PHANOM: More than 200,000 speed pills and 10 kilogrammes of marijuana worth at least 20 million baht were left abandoned on the bank of the Mekong River in Tha Uthen district late Friday night.;2022-03-19
1637;Khun Yuam Living Museum Coordination Centre;['THAILAND'];Jetjaras Na Ranong;» The National Research Council of Thailand opened the Khun Yuam Living Museum Coordination Centre in Khun Yuam district, Mae Hong Son province, on March 7, 2022.;2022-03-19
1638;War in Ukraine: Latest developments;['WORLD'];AFP;» KYIV - Here are the latest developments in the war in Ukraine:;2022-03-19
1639;Man with knife robs gold shop in Samut Sakhon;['THAILAND'];Online Reporters;» A man armed with a knife robbed a gold shop in a Lotus’s shopping mall in Samut Sakhon and made off with gold ornaments worth almost 700,000 baht on Saturday.;2022-03-19
1640;Broke Sri Lanka out of paper, exams cancelled;['WORLD'];;» COLOMBO: Sri Lanka has cancelled exams for millions of students as the country has run out of printing paper and is short on dollars to finance imports, officials said on Saturday.;2022-03-19
1641;Russia uses advanced hypersonic missiles;['WORLD'];;» Russia used its newest Kinzhal hypersonic missiles for the first time in Ukraine on Friday to destroy a weapons storage site in the country's west, the defence ministry said.;2022-03-19
1642;Lost toddler rescued far from home in Surin;['THAILAND'];Online Reporters;» SURIN: Video footage shows a girl of about three years old lost in the middle of the road on a rainy night. Rescuers helped her return home safely.;2022-03-19
1643;Zelensky appeals for direct peace talks with Moscow;['WORLD'];;» Ukraine President Volodymyr Zelensky has made a fresh appeal for talks with Moscow, while Russia said its soldiers had entered the centre of the besieged port city Mariupol.;2022-03-19
1644;Mother: No progress in son's campus beating death;['THAILAND'];;» BURI RAM: The mother of a 22-year-old university sophomore who was allegedly beaten to death by seniors last year has called for justice for her son, saying there has been little progress in the case.;2022-03-19
1645;Myanmar to reopen to international tourists;['WORLD'];AFP;» Myanmar will resume international passenger flights from Apr 17, the military said Saturday, lifting a two-year ban on foreign tourists.;2022-03-19
1646;Bangkok-bound bus overturns in Korat, six hurt;['THAILAND'];Prasit Tangprasert;» NAKHON RATCHASIMA: Six passengers were injured when a Bangkok-bound interprovincial passenger bus overturned in Non Sung district in the early hours of Saturday.;2022-03-19
1647;China reports Covid deaths for first time since 2021;['WORLD'];Bloomberg News;» China reported its first Covid-19 deaths since January 2021 as the omicron variant continued to spread across the world’s most-populous nation.;2022-03-19
1648;Singha Estate to allocate B11bn to projects this year;['PROPERTY'];Business;» SET-listed property company Singha Estate is planning to invest 11 billion baht in new and existing projects this year, aiming for 73% growth in revenue once global tourism recovers.;2022-03-19
1649;Netflix wants to charge users who share accounts;['BUSINESS'];Business;» After years of turning a blind eye to password sharing, Netflix Inc has had enough.;2022-03-19
1650;3 rescued from Chinese casino;['THAILAND'];News;» Three Thai women have been repatriated after they were duped into working for scammers for a Chinese-run casino in the Golden Triangle Special Economic Zone (SEZ) in Laos' Bokeo province.;2022-03-19
1651;Burger King Russia partner 'refuses' to shut 800 shops;['BUSINESS'];Business;"» Burger King's parent company said on Thursday that it has not been able to close its 800 restaurants in Russia because its independent operator there ""refused"" to do so.";2022-03-19
1652;Department approves increase in fertiliser prices;['BUSINESS'];Business;» The Internal Trade Department approved on Friday local traders and suppliers increasing fertiliser prices in line with rising production costs, but the move is on a case-by-case basis, not across the board.;2022-03-19
1653;Oil stocks rise in line with higher crude oil costs;['BUSINESS'];Business;» Oil stocks rallied after the crude oil price hit US$109 per barrel on worries that sanctions on Russian crude could lead to supply shock.;2022-03-19
1654;Arrest after lewd tape threat leads to suicide;['THAILAND'];News;» A 26-year-old who was arrested for blackmailing a 17-year-old boy who later committed suicide, after the former posed as a female then threatened to make public a sexually explicit tape, may have used the same ploy on 20 others during the past two years, police said yesterday.;2022-03-19
1655;Mixed reactions to scrapping tests;['BUSINESS'];Business;» The business sector voiced a varied response to the government's latest decision to scrap the mandatory pre-departure coronavirus test for visitors starting next month.;2022-03-19
1656;Raid nets fake cosmetics;['THAILAND'];News;» Police have seized about 70 million baht worth of fake cosmetic products bearing the names of 18 brands during a raid on a house in Bangkok's Suan Luang district.;2022-03-19
1657;Pathum keen to play party poopers role;['SPORTS'];Sports;» Holders BG Pathum United vow to get a result at Buriram United tomorrow to delay the Thunder Castle's Thai League 1 title celebration.;2022-03-19
1658;Elderly patients to get molnupiravir first;['THAILAND'];News;» Two million capsules of molnupiravir, the first oral medicine against Covid-19, arrived in the country on Friday for use as a prescribed medicine for high-risk patient groups, according to the Department of Medical Services.;2022-03-19
1659;WHA makes move into health tech;['BUSINESS'];Business;» SET-listed WHA Corporation, Thailand's largest developer of built-to-suit logistics facilities, plans to launch a digital healthcare service with cooperation from Samitivej Hospital as it ventures into healthcare technology.;2022-03-19
1660;Tai halts title holder Okuhara;['SPORTS'];Sports;» Top-ranked Tai Tzu-ying of Taiwan remains in the hunt for her fourth All England Open title after defeating holder Nozomi Okuhara of Japan 21-10, 21-11 in the quarter-finals in Birmingham yesterday.;2022-03-19
1661;Doubts raised over huge B6bn govt favipiravir order;['THAILAND'];News;» The Public Health Ministry is insisting on the continued use of favipiravir for Covid-19 treatment despite opposition from experts and a well-known activist.;2022-03-19
1662;La paix est féminine. Peace is feminine;['OPINION'];News;» March is the month of Francophonie. We also just celebrated International Women's Day. This year, these two celebrations are related by one thread -- the call for Peace. La Paix, the French word for Peace, is feminine. This month, we pay tribute to the tremendous contribution of women towards global peace. We also renew our commitment to peace and cooperation.;2022-03-19
1663;Rates, oil and Ukraine keep investors guessing;['BUSINESS'];Business;» Recap: Global stock markets were muted yesterday as investors digested rising interest rates, a new upturn in oil prices and results from peace talks between Russia and Ukraine.;2022-03-19
1664;Sanctions aren't new, ask the Romans;['OPINION'];News;» Attacks on a state's economy can inflict immense damage, but sanctions and other tools of economic warfare are unlikely to defeat a superior military power. Instead, economic disruptions may prompt the state to fight even harder to defend itself. The anger and anxiety economic disruptions produce can accelerate rather than conclude a war.;2022-03-19
1665;Government creep;['OPINION'];News;"» Re: ""Govt mulls calling time on Lisa ads,"" (BP, March 17).";2022-03-19
1666;VAR still troubled by the 'human factor';['SPORTS'];Sports;» It is now the third season that the VAR (Video Assistant Referee) system has been operating in the Premier League but nearly every weekend it seems to create controversy.;2022-03-19
1667;Weaponising trade won't end Ukraine conflict;['OPINION'];News;» One of the strongest arguments for free trade is that it promotes peace between participating countries. There is an undeniable correlation between the two, even if it is not always clear whether peace is a precondition for the free trade, or commerce creates the economic incentives for all participants to maintain peace.;2022-03-19
1668;25,804 new Covid cases, 87 more deaths;['THAILAND'];Online Reporters;» The country registered 25,804 more Covid-19 cases and 87 new fatalities, the highest in the fifth and current wave, during the previous 24 hours, the Public Health Ministry announced on Saturday morning.;2022-03-19
1669;Food for thought;['THAILAND'];News;» Food for thought;2022-03-19
1670;Betong operators seek Nok Air deal;['BUSINESS'];Business;» Tourism operators plan to offer Nok Air a guarantee of 75% on seat bookings and want to negotiate with the airline to slash airfares in order to resume operations at Betong airport by April 1, targeting Malaysian arrivals via land borders who want direct flights to Bangkok.;2022-03-19
1671;Aiming to be the best at express delivery;['BUSINESS'];Business;» Best Logistics Technology (Thailand), the operator of express delivery service Best Express, is expanding its reach on large goods shipment services and factory customers while gearing up to optimise its work processes in the face of intense competition and business challenges.;2022-03-19
1672;NT could lose 5G range;['BUSINESS'];Business;» National Telecom (NT) may have to return the 700-megahertz spectrum range to the telecom regulator if it cannot reach a partnership deal to capitalise on the frequency, says Digital Economy and Society Minister Chaiwut Thanakamanusorn.;2022-03-19
1673;Setthakij Thai targets 100 House seats;['THAILAND'];News;» Gen Wit Devahastin na Ayudhya, the newly elected leader of the Setthakij Thai Party, has set his sights on securing at least 100 House seats in the next general election.;2022-03-19
1674;Parents urged to limit kids' screen time;['THAILAND'];News;» The Department of Health has suggested parents spend more time playing with their kids after its survey found 64% of children under six years old spend more than one hour on electronic devices daily.;2022-03-19
1675;Ministry launches new bridge project;['THAILAND'];News;» The Transport Ministry has kicked off the Songkhla Lake Bridge Construction project, which aims to reduce travel time between Songkhla and Phatthalung provinces.;2022-03-19
1676;PM reassures allies about early election;['THAILAND'];News;» Prime Minister Prayut Chan-o-cha has told government coalition partners there would be no reason for him to dissolve the House if they cooperate with each other.;2022-03-19
1677;Khao San bars beg for no Songkran splash ban;['THAILAND'];News;» Business operators along Khao San Road have objected to a policy by the Centre for Covid-19 Situation Administration (CCSA) that allows Songkran activities to be held but prohibits water fights, saying they will lose income.;2022-03-19
1678;Pre-travel bug tests to end;['THAILAND'];News;» Foreign travellers to Thailand will not be required to take a pre-travel Covid-19 test starting from April 1, but testing on arrival will continue.;2022-03-19
1679;Royal robe rite;['THAILAND'];News;» His Majesty King Maha Vajiralongkorn Phra Vajiraklaochaoyuhua replaces the winter attire of the Emerald Buddha with summer robes at Wat Phra Si Rattana Satsadaram, commonly known as the Temple of the Emerald Buddha, on Friday.;2022-03-19
1680;Kelly raring to go against accomplished Yamaguchi;['SPORTS'];Sports;» Singapore: Within a month of signing with One Championship, Danielle Kelly will make her debut in the circle at One X at the Singapore Indoor Stadium on March 26.;2022-03-19
1681;War impact priced in, look for near-term rebound;['BUSINESS'];Business;» Over the past two weeks, the SET has been highly volatile. Jitters over the Russia-Ukraine war have driven up energy price and inflation while dragging down risk assets and global equities.;2022-03-19
1682;SPCG allots B3bn for EEC solar plants;['BUSINESS'];Business;» SET-listed SPCG, a pioneer in solar farm development in Thailand, continues to expand its solar energy empire by acquiring land to build new renewable power facilities in the Eastern Economic Corridor (EEC).;2022-03-19
1683;Call time on booze rules;['OPINION'];News;» Reports that K-pop superstar Lisa Manoban has become a brand ambassador for a whisky-maker have caused something of a frenzy here in her home country.;2022-03-19
1684;Ukrainian embassy gets 100 free room proposals;['THAILAND'];News;» More than 100 Thais are applying to provide free accommodation to Ukrainians stranded in the kingdom amid the war in the Eastern European nation, the Ukrainian embassy revealed on Friday.;2022-03-19
1685;Ukraine War's Global Economic Impact Will Hit Poorest Hardest, OECD Says;['BUSINESS'];Business;» Russia's invasion of Ukraine will be felt by households around the world through higher energy and food prices, with disruptions to trade and fragile confidence contributing to a significant weakening of global economic growth, the Organization for Economic Cooperation and Development said Thursday.;2022-03-19
1686;Excess revenue to help public;['BUSINESS'];Business;» If Thailand's revenue in fiscal 2022 exceeds the government target, the Finance Ministry will spend the excess money on easing people's living costs, says the ministry's permanent secretary Krisada Chinavicharana.;2022-03-19
1687;Covid cases may delay vetting of organic laws;['THAILAND'];News;» The parliamentary committee vetting the amendments to two organic laws may consider cancelling next week's meetings after two members tested positive for Covid-19.;2022-03-19
1688;Moscow marks Crimea annexation with patriotic rally;['WORLD'];AFP;» MOSCOW - A sea of Russian flags, pro-Kremlin pop stars, and state television unexpectedly cutting President Vladimir Putin mid-speech: Moscow on Friday marked eight years since its annexation of Crimea from Ukraine, as its troops advanced further into the country.;2022-03-18
1689;Kyiv psychiatric home puts brave face on war;['WORLD'];AFP;» KYIV - Sometimes, when war makes the walls of her Kyiv psychiatric hospital shudder, head nurse Oksana Padalka hides so she can cry.;2022-03-18
1690;Biden tries to get Xi onside against Russia;['WORLD'];AFP;"» WASHINGTON: US President Joe Biden and Chinese leader Xi Jinping began a phone call Friday in which Biden will pressure his counterpart to join Western pressure against Russia over the invasion of Ukraine, warning of ""costs"" if Beijing goes to the Kremlin's aid.";2022-03-18
1691;Move Forward MP threatens to sue over case flaws;['THAILAND'];Online Reporters;» Move Forward Party MP Rangsiman Rome is threatening to take legal action against authorities after he reported to police on Friday, only to be told that the charge against him was not yet complete.;2022-03-18
1692;UN: Over 3.25 million have fled Ukraine;['WORLD'];AFP;» GENEVA: More than 3.25 million refugees have fled Ukraine since the Russian invasion, the United Nations said on Friday, with almost two million having crossed the Polish border.;2022-03-18
1693;Chelsea face Real Madrid in Champions League quarters;['SPORTS'];AFP;» PARIS: Troubled holders Chelsea were drawn against 13-time winners Real Madrid in the quarter-finals of the Champions League on Friday, while Manchester City will take on Atletico Madrid.;2022-03-18
1694;Kunplome family faces big Pattaya poll test;['THAILAND'];Chaiyot Pupattanapong;» PATTAYA: This resort city is becoming a political battleground, with at least two candidates seeking to dethrone its longtime mayor in May.;2022-03-18
1695;Record 27,071 new Covid cases, 80 more deaths;['THAILAND'];Online Reporters;» There were 80 more Covid-19 fatalities, the highest in the new wave, and a record high of 27,071 confirmed new cases during the previous 24 hours, the Public Health Ministry reported  on Friday morning.;2022-03-18
1696;No pre-travel Covid tests from April 1;['EASY NEWS'];Gary Boyle;» The Centre for Covid-19 Situation Administration on Friday announced the end of the requirement that visitors pass a pre-travel Covid-19 test, from April 1.;2022-03-18
1697;Covid threat to House committee on election law;['THAILAND'];Aekarach Sattaburuth;» Chartthaipattana MP Nikorn Chamnong said on Friday he had Covid-19 and was concerned about 49 other members of the House committee reviewing the new election law who were at two meetings he attended this week.;2022-03-18
1698;Songkran celebrations allowed, but no water fights;['THAILAND'];Online Reporters;» Songkran celebrations will be allowed next month but drinking alcohol at events, foam parties, water splashing and powder smearing will be prohibited.;2022-03-18
1699;“Sound the Alarm!” – Yonlapa Band plays intimate outdoor gig at The Standard, Hua Hin;['THAILAND'];;» Guests and local residents flocked to the Lido Bar on 19 February 2022, as this popular Chiang Mai-based indie quartet performed a one-hour concert overlooking the gardens and ocean, as part of the “Standard Sounds” music program.;2022-03-18
1700;B70m in fake cosmetic products seized;['THAILAND'];Wassayos Ngamkham;» Police have seized about 70 million baht worth of fake cosmetic products bearing the names of 18 brands during a raid on a house in Bangkok’s Suan Luang district.;2022-03-18
1701;Covid controls eased in 24 provinces;['THAILAND'];Online Reporters;» The Centre for Covid-19 Situation Administration (CCSA) on Friday slashed the number orange-zoned Covid-control provinces and declared two more provinces tourism pilot areas where disease controls are relaxed, with immediate effect.;2022-03-18
1702;Shenzhen eases lockdown as pandemic hits economy;['WORLD'];AFP;"» BEIJING: China's southern tech powerhouse Shenzhen has partially eased lockdown measures, after President Xi Jinping stressed the need to ""minimise the impact"" of the coronavirus pandemic on the nation's economy.";2022-03-18
1703;Asean envoy seeking favourable conditions for Myanmar peace process;['WORLD'];;» PHNOM PENH: A Southeast Asian special envoy will visit Myanmar next week, his office said on Friday, to lay the groundwork for a peace process that its ruling junta has been accused of delaying while it tries to consolidate power and crush its opposition.;2022-03-18
1704;No Thai military volunteers in Ukraine, says charge d'affaires;['THAILAND'];Online Reporters;» There are no Thai citizens in Ukraine serving as military volunteers in the fight against invading Russian troops, a senior Ukrainian diplomat said on Friday.;2022-03-18
1705;DKSH Thailand delivers more than 70 million doses of COVID-19 vaccine to Thai people;['THAILAND'];;» DKSH has been at the forefront of supporting Thailand’s COVID-19 vaccine rollout since the country’s very first vaccine shipment arrived in February of 2021.;2022-03-18
1706;The battle to keep Russia's internet free;['WORLD'];AFP;» PARIS - Western powers have seized the yachts of Russian oligarchs and booted Russian banks out of the international system in response to the Ukraine invasion, but sanctions that limit access to the internet are proving highly divisive.;2022-03-18
1707;Shenzhen eases lockdown as pandemic gnaws at China economy;['WORLD'];AFP;"» BEIJING - China's southern tech powerhouse Shenzhen has partially eased lockdown measures, after President Xi Jinping stressed the need to ""minimise the impact"" of the coronavirus pandemic on the nation's economy.";2022-03-18
1708;Great Barrier Reef suffers 'widespread' bleaching event;['WORLD'];AFP;"» SYDNEY: The Great Barrier Reef has again been hit with ""widespread"" bleaching, authorities said Friday, as higher-than-average ocean temperatures off Australia's northeast threaten the already struggling World Heritage site.";2022-03-18
1709;Great Barrier Reef suffers 'widespread' bleaching event;['WORLD'];AFP;"» The Great Barrier Reef has again been hit with ""widespread"" bleaching, authorities said Friday, as higher-than-average ocean temperatures off Australia's northeast threaten the already struggling World Heritage site.";2022-03-18
1710;Father of hazing victim rejects B500,000 offer, will take case to court;['THAILAND'];Prasit Tangprasert;» NAKHON RATCHASIMA: The father of the university freshman killed by a violent hazing ritual has rejected a 500,000 baht compensation offer by parents of the seven senior students involved, and said he will seek justice through the courts.;2022-03-18
1711;Malaysia PM warns against undermining king in call for polls;['WORLD'];Bloomberg News;» Malaysian Prime Minister Ismail Sabri Yaakob cautioned against usurping the king’s authority, as pressure mounts within his party for him to call for a general election soon.;2022-03-18
1712;Nadal thwarts Kyrgios to reach Indian Wells semi-finals;['SPORTS'];AFP;» INDIAN WELLS: Rafael Nadal left Nick Kyrgios frustrated and fuming with a 7-6 (7/0), 4-7, 6-4 victory in the quarter-finals of the Indian Wells WTA and ATP Masters on Thursday.;2022-03-18
1713;Messi left to pick up pieces at PSG after jeers and Champions League failure;['SPORTS'];AFP;» PARIS: A season that started with such feverish excitement is turning out to be nothing short of a fiasco in Paris for Lionel Messi, who suffered the ignominy of being booed by his own supporters last weekend.;2022-03-18
1714;Argentina parliament approves IMF deal for $45 billion debt;['BUSINESS'];AFP;» BUENOS AIRES: Argentina's Senate on Thursday gave final approval to an agreement with the International Monetary Fund that restructures a $45 billion debt, clearing the country's short-term financial horizon but leaving a serious inflationary challenge.;2022-03-18
1715;Argentina parliament approves IMF deal for $45 billion debt;['WORLD'];AFP;» BUENOS AIRES - Argentina's Senate on Thursday gave final approval to an agreement with the International Monetary Fund that restructures a $45 billion debt, clearing the country's short-term financial horizon but leaving a serious inflationary challenge.;2022-03-18
1716;VIDEO: This Week's Top Stories March 18;['VIDEO'];Gary Boyle;» This week: entry relaxations, Porsche kills motorcyclist, new Omicron mutation and a hazing death.;2022-03-18
1717;Junta gives final approval for sale of Telenor's Myanmar unit;['BUSINESS'];Reuters;» SINGAPORE: Myanmar's junta has given the final approval for the sale of Norwegian telecommunications company Telenor's operations in the country to a local company and Lebanese investment firm, according to three sources with knowledge of the matter.;2022-03-18
1718;BOI’s Productivity Enhancement Measures;['BUSINESS'];;» With the intention of enhancing competitiveness of both manufacturing and service sectors, BOI offers productivity enhancement measures namely:;2022-03-18
1719;CP Foods readies to export chicken products to Saudi Arabia within March;['THAILAND'];;» Charoen Pokphand Foods Public Company Limited (CP Foods) received good news that its five chicken processing plants are among 11 Thai factories have been certified by the Saudi Food & Drug Authority (SFDA) to ensure the company’s chicken quality is safe and strictly manufactured under international Halal standards. The company will export chicken to Riyadh within March.;2022-03-18
1720;Pre-travel Covid tests for arrivals lifted from April 1;['THAILAND'];Online Reporters;» The Centre for Covid-19 Situation Administration on Friday resolved to discontinue the  requirement that visitors pass a pre-travel Covid-19 test, from April 1, but testing on arrival will continue.;2022-03-18
1721;Record 27,071 new Covid cases Friday;['REALLY EASY NEWS'];Gary Boyle;» There were 80 more Covid-19 fatalities, the highest in the new wave, and a record high of 27,071 confirmed new cases during the previous 24 hours, the Public Health Ministry reported on Friday morning.;2022-03-18
1722;BOI attends the grand opening ceremony of Mitsubishi's new paint shop;['BUSINESS'];;» Mr. Chanin Khaochan, Deputy Secretary General of the Thailand Board of Investment, on 16 March 2022, attended the grand opening of Mitsubishi Motors (Thailand) Co., Ltd.'s new paint shop at Laem Chabang Industrial Estate, Chonburi which was chaired by Mr. Suriya Juangroongruangkit, Minister of Industry.;2022-03-18
1723;Oscar spotlight shines on India's rural women journalists;['LIFE'];AFP;» BANDA, India: An all-women team of smartphone-toting, low-caste reporters who chronicle India's hardscrabble heartland may give the cinema-mad country its first Oscar-winning film, after their own story became a critically lauded documentary.;2022-03-18
1724;'I'm sorry': Aitsaret apologises to Supasan;['SPORTS'];Sports;» Aitsaret Noichaiboon has apologised to Supasan Ruangsuphanimit, the North Bangkok University FC player he brutally attacked and injured in a Thai League 3 game last Sunday.;2022-03-18
1725;Nation 'ready' for Deltacron;['THAILAND'];News;» The public health minister says Thailand is prepared to deal with any new variant of the coronavirus including the newly emerged Deltacron that is now being closely watched by the World Health Organization (WHO).;2022-03-18
1726;Pundits seek further clarity over platform draft decree;['BUSINESS'];Business;» The draft royal decree aimed at regulating digital platforms could protect consumers, but the details regarding its compliance and enforcement remain in question, say e-commerce and academic pundits.;2022-03-18
1727;FTI pushes easing of tourism rules;['BUSINESS'];Business;» The Federation of Thai Industries (FTI) wants the government to further relax screening of foreign tourists by abandoning the mandatory Test & Go scheme, quarantine and RT-PCR testing to attract more visitors and restore the pandemic-ravaged tourism industry.;2022-03-18
1728;Dept strikes down killer's parole plea;['THAILAND'];News;» The Department of Corrections on Thursday confirmed that it has not granted parole to Polkrit Wiset, a former army sergeant who is serving a 33-year sentence for the murder of Ploypailin Palipol, saying the killer has not shown any remorse for his actions.;2022-03-18
1729;Expert tells officials to phase out favipiravir;['THAILAND'];News;» A medical expert on Thursday urged the government to switch from favipiravir to molnupiravir, a more effective antiviral medication for Covid-19 treatment that is needed especially as Thailand now plans to declare Covid-19 endemic.;2022-03-18
1730;Nasa's mega Moon rocket on way to launchpad;['WORLD'];AFP;» WASHINGTON: The National Aeronautics and Space Administration's (Nasa) massive new rocket was beginning its first journey to a launchpad on Thursday ahead of a battery of tests that will clear it to blast off to the Moon in mid-year.;2022-03-18
1731;Dept eyes Singapore-Phuket cruise plan;['BUSINESS'];News;» The Department of Disease Control (DDC) will discuss with Singapore a new protocol allowing tourists to take cruises to Phuket from the island nation.;2022-03-18
1732;Bourses boom on Fed rate uptick;['BUSINESS'];Business;» Thai and global stock markets rallied following the United States Federal Reserve's decision to raise the interest rate by 0.25 percentage points on Thursday.;2022-03-18
1733;Plan aims for 50% renewable by 2050;['BUSINESS'];Business;» The government looks set to create a new national power development plan to increase the proportion of renewable energy used to generate electricity to 50% of all energy types by 2050.;2022-03-18
1734;Hanoi urges shipping lane extension;['THAILAND'];News;» Vietnam has asked the government to expand a shipping navigation route between its Phu Quoc island and Thailand as part of a coastal shipping lane cooperation deal previously agreed by the two countries and Cambodia.;2022-03-18
1735;Thai AirAsia eyes year of regional growth;['BUSINESS'];Business;» The aviation sector can recover from the pandemic by pursuing international routes after more Asian countries eased travel curbs amid regional pent-up demand, according to the head of Thai AirAsia (TAA).;2022-03-18
1736;TCRB eager for commercial licence;['BUSINESS'];Business;» Thai Credit Retail Bank (TCRB) is considering becoming a commercial bank to better meet customer demand and grow its business.;2022-03-18
1737;Risk of imminent Russian debt default appears to ebb;['BUSINESS'];AFP;» NEW YORK: The possibility of an imminent Russian debt default appeared to diminish Thursday following statements from Moscow and news of a payment to JPMorgan Chase, however a ratings agency warned of a continued risk of nonpayment.;2022-03-18
1738;Oil surges back up on Russia tensions;['BUSINESS'];AFP;» NEW YORK: Oil prices soared Thursday on tensions surrounding key producer Russia, while global equities mostly rose as markets digested monetary tightening moves by central banks.;2022-03-18
1739;13-year-old was driving truck in Texas crash that killed nine;['WORLD'];AFP;» HOUSTON - A 13-year-old boy was driving a pickup truck that collided with a van carrying a college golf team in west Texas, killing nine people, officials said Thursday.;2022-03-18
1740;BMA starts courting Grey Line investors;['THAILAND'];News;» The Bangkok Metropolitan Administration (BMA) is seeking private companies interested in investing in its Grey Line monorail project as construction is due to begin in 2026.;2022-03-18
1741;Malian junta orders French broadcasters RFI, France 24 off air;['WORLD'];AFP;» BAMAKO - Mali's ruling junta has ordered French broadcasters RFI and France 24 off the air, complaining they had falsely accused the army of committing abuses, it said in a statement issued on Thursday.;2022-03-18
1742;Moscow accused of war crimes as Ukraine atrocities mount;['WORLD'];AFP;» KYIV - Bloody new attacks on civilians fuelled accusations Thursday that Russia is committing war crimes in Ukraine, as the United States warned it will make China pay for any support given to Moscow's assault.;2022-03-18
1743;Badosa into Indian Wells semi-finals, Nadal, Alcaraz aim to follow;['SPORTS'];AFP;» INDIAN WELLS: Defending champion Paula Badosa solved the riddle of Veronika Kudermetova, cruising past the 21st seed 6-3, 6-2 to set up a semi-final clash with Maria Sakkari at the Indian Wells WTA and ATP Masters on Thursday.;2022-03-18
1744;Protests as transgender swimmer Thomas powers to US college crown;['SPORTS'];AFP;» WASHINGTON: Transgender swimmer Lia Thomas shrugged off protesters as she powered to a historic victory in the 500-yard freestyle at the US collegiate championships in Atlanta on Thursday in the latest milestone of her controversial career.;2022-03-18
1745;Malaysia: RCEP regional trade pact comes into force;['BUSINESS'];;» KUALA LUMPUR: The Regional Comprehensive Economic Partnership (RCEP) free trade agreement has entered into force in Malaysia from Friday, Malaysia's Ministry of International Trade and Industry said.;2022-03-18
1746;Songkran rules planned;['EASY NEWS'];Gary Boyle;» The government will meet on Friday to discuss ways to curb the spread of Covid-19 during the Songkran holiday period, which includes a proposed ban on water-splashing.;2022-03-18
1747;No parole for killer;['ADVANCED NEWS'];Gary Boyle;» The Department of Corrections on Thursday confirmed that it has not granted parole to a former army sergeant who is serving a 33-year sentence for murder.;2022-03-18
